"ID"	"GB_ACC"	"Gene.Title"	"Gene.Symbol"
"204129_PM_at"	"204129_PM_at"	"NM_004326"	"B-cell CLL/lymphoma 9"	"BCL9"
"227616_PM_at"	"227616_PM_at"	"BG481877"	"B-cell CLL/lymphoma 9-like"	"BCL9L"
"201083_PM_s_at"	"201083_PM_s_at"	"AA740754"	"BCL2-associated transcription factor 1"	"BCLAF1"
"220087_PM_at"	"220087_PM_at"	"NM_017429"	"beta-carotene 15,15'-monooxygenase 1"	"BCMO1"
"232449_PM_at"	"232449_PM_at"	"AV710838"	"beta-carotene oxygenase 2"	"BCO2"
"219433_PM_at"	"219433_PM_at"	"NM_017745"	"BCL6 co-repressor"	"BCOR"
"219444_PM_at"	"219444_PM_at"	"NM_021946"	"BCL6 co-repressor-like 1"	"BCORL1"
"1562313_PM_at"	"1562313_PM_at"	"AK097140"	"BCL6 co-repressor-like 2"	"BCORL2"
"202315_PM_s_at"	"202315_PM_s_at"	"NM_004327"	"breakpoint cluster region"	"BCR"
"207618_PM_s_at"	"207618_PM_s_at"	"NM_004328"	"BCS1-like (yeast)"	"BCS1L"
"1570336_PM_at"	"1570336_PM_at"	"BG724369"	"3-hydroxybutyrate dehydrogenase, type 1"	"BDH1"
"218285_PM_s_at"	"218285_PM_s_at"	"NM_020139"	"3-hydroxybutyrate dehydrogenase, type 2"	"BDH2"
"207510_PM_at"	"207510_PM_at"	"NM_000710"	"bradykinin receptor B1"	"BDKRB1"
"205870_PM_at"	"205870_PM_at"	"NM_000623"	"bradykinin receptor B2"	"BDKRB2"
"206382_PM_s_at"	"206382_PM_s_at"	"NM_001709"	"brain-derived neurotrophic factor"	"BDNF"
"1567359_PM_at"	"1567359_PM_at"	"AJ011597"	"BDNF opposite strand (non-protein coding)"	"BDNFOS"
"224227_PM_s_at"	"224227_PM_s_at"	"AF298152"	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	"BDP1"
"214068_PM_at"	"214068_PM_at"	"AF070610"	"brain expressed, associated with Nedd4"	"BEAN"
"1561652_PM_at"	"1561652_PM_at"	"BM511790"	"Beclin 1, autophagy related"	"BECN1"
"220795_PM_s_at"	"220795_PM_s_at"	"NM_020836"	"brain-enriched guanylate kinase-associated homolog (rat)"	"BEGAIN"
"1553842_PM_at"	"1553842_PM_at"	"NM_153346"	"BEN domain containing 2"	"BEND2"
"227920_PM_at"	"227920_PM_at"	"AV700885"	"BEN domain containing 3"	"BEND3"
"230896_PM_at"	"230896_PM_at"	"AA833830"	"BEN domain containing 4"	"BEND4"
"1558476_PM_at"	"1558476_PM_at"	"AW292205"	"BEN domain containing 5"	"BEND5"
"1568820_PM_a_at"	"1568820_PM_a_at"	"BC036119"	"BEN domain containing 6"	"BEND6"
"1553327_PM_a_at"	"1553327_PM_a_at"	"NM_152751"	"BEN domain containing 7"	"BEND7"
"1554442_PM_at"	"1554442_PM_at"	"BC041664"	"bestrophin 1"	"BEST1"
"207432_PM_at"	"207432_PM_at"	"NM_017682"	"bestrophin 2"	"BEST2"
"1555492_PM_a_at"	"1555492_PM_a_at"	"AF440758"	"bestrophin 3"	"BEST3"
"1552296_PM_at"	"1552296_PM_at"	"NM_153274"	"bestrophin 4"	"BEST4"
"202710_PM_at"	"202710_PM_at"	"BC000899"	"blocked early in transport 1 homolog (S. cerevisiae)"	"BET1"
"220470_PM_at"	"220470_PM_at"	"NM_016526"	"blocked early in transport 1 homolog (S. cerevisiae)-like"	"BET1L"
"232368_PM_at"	"232368_PM_at"	"AK002042"	"BET3 like (S. cerevisiae)"	"BET3L"
"218332_PM_at"	"218332_PM_at"	"NM_018476"	"brain expressed, X-linked 1"	"BEX1"
"224367_PM_at"	"224367_PM_at"	"AF251053"	"brain expressed X-linked 2"	"BEX2"
"215440_PM_s_at"	"215440_PM_s_at"	"AL523320"	"brain expressed, X-linked 4"	"BEX4"
"229963_PM_at"	"229963_PM_at"	"AV726956"	"brain expressed, X-linked 5"	"BEX5"
"240682_PM_at"	"240682_PM_at"	"AA412219"	"hypothetical LOC497634"	"BEYLA"
"218056_PM_at"	"218056_PM_at"	"NM_016561"	"bifunctional apoptosis regulator"	"BFAR"
"206746_PM_at"	"206746_PM_at"	"NM_001195"	"beaded filament structural protein 1, filensin"	"BFSP1"
"207399_PM_at"	"207399_PM_at"	"NM_003571"	"beaded filament structural protein 2, phakinin"	"BFSP2"
"206956_PM_at"	"206956_PM_at"	"NM_000711"	"bone gamma-carboxyglutamate (gla) protein"	"BGLAP"
"201261_PM_x_at"	"201261_PM_x_at"	"BC002416"	"biglycan"	"BGN"
"1559510_PM_at"	"1559510_PM_at"	"BC040959"	"Basic helix-loop-helix domain containing, class B, 9"	"BHLHB9"
"228636_PM_at"	"228636_PM_at"	"AL134708"	"basic helix-loop-helix family, member e22"	"BHLHE22"
"234045_PM_x_at"	"234045_PM_x_at"	"BF513872"	"basic helix-loop-helix family, member e23"	"BHLHE23"
"201169_PM_s_at"	"201169_PM_s_at"	"BG326045"	"basic helix-loop-helix family, member e40"	"BHLHE40"
"221530_PM_s_at"	"221530_PM_s_at"	"BE857425"	"basic helix-loop-helix family, member e41"	"BHLHE41"
"206119_PM_at"	"206119_PM_at"	"NM_001713"	"betaine--homocysteine S-methyltransferase"	"BHMT"
"219902_PM_at"	"219902_PM_at"	"NM_017614"	"betaine--homocysteine S-methyltransferase 2"	"BHMT2"
"220580_PM_at"	"220580_PM_at"	"NM_025044"	"bicaudal C homolog 1 (Drosophila)"	"BICC1"
"1554020_PM_at"	"1554020_PM_at"	"BC010091"	"bicaudal D homolog 1 (Drosophila)"	"BICD1"
"1553021_PM_s_at"	"1553021_PM_s_at"	"NM_015250"	"bicaudal D homolog 2 (Drosophila)"	"BICD2"
"204493_PM_at"	"204493_PM_at"	"NM_001196"	"BH3 interacting domain death agonist"	"BID"
"205780_PM_at"	"205780_PM_at"	"NM_001197"	"BCL2-interacting killer (apoptosis-inducing)"	"BIK"
"202931_PM_x_at"	"202931_PM_x_at"	"NM_004305"	"bridging integrator 1"	"BIN1"
"219191_PM_s_at"	"219191_PM_s_at"	"NM_016293"	"bridging integrator 2"	"BIN2"
"1557582_PM_at"	"1557582_PM_at"	"AI570261"	"bridging integrator 3"	"BIN3"
"202076_PM_at"	"202076_PM_at"	"NM_001166"	"baculoviral IAP repeat-containing 2"	"BIRC2"
"210538_PM_s_at"	"210538_PM_s_at"	"U37546"	"baculoviral IAP repeat-containing 3"	"BIRC3"
"202094_PM_at"	"202094_PM_at"	"AA648913"	"baculoviral IAP repeat-containing 5"	"BIRC5"
"224635_PM_s_at"	"224635_PM_s_at"	"AI017106"	"baculoviral IAP repeat-containing 6"	"BIRC6"
"220451_PM_s_at"	"220451_PM_s_at"	"NM_022161"	"baculoviral IAP repeat-containing 7"	"BIRC7"
"1569289_PM_at"	"1569289_PM_at"	"BC039587"	"basic, immunoglobulin-like variable motif containing"	"BIVM"
"201032_PM_at"	"201032_PM_at"	"NM_006698"	"bladder cancer associated protein"	"BLCAP"
"1555675_PM_at"	"1555675_PM_at"	"AF303179"	"BH3-like motif containing, cell death inducer"	"BLID"
"206255_PM_at"	"206255_PM_at"	"NM_001715"	"B lymphoid tyrosine kinase"	"BLK"
"205733_PM_at"	"205733_PM_at"	"NM_000057"	"Bloom syndrome, RecQ helicase-like"	"BLM"
"202179_PM_at"	"202179_PM_at"	"NM_000386"	"bleomycin hydrolase"	"BLMH"
"207655_PM_s_at"	"207655_PM_s_at"	"NM_013314"	"B-cell linker"	"BLNK"
"202592_PM_at"	"202592_PM_at"	"NM_001487"	"biogenesis of lysosomal organelles complex-1, subunit 1"	"BLOC1S1"
"225049_PM_at"	"225049_PM_at"	"BF382281"	"biogenesis of lysosomal organelles complex-1, subunit 2"	"BLOC1S2"
"228244_PM_at"	"228244_PM_at"	"BF062383"	"biogenesis of lysosomal organelles complex-1, subunit 3"	"BLOC1S3"
"203771_PM_s_at"	"203771_PM_s_at"	"AA740186"	"biliverdin reductase A"	"BLVRA"
"202201_PM_at"	"202201_PM_at"	"NM_000713"	"biliverdin reductase B (flavin reductase (NADPH))"	"BLVRB"
"1558560_PM_s_at"	"1558560_PM_s_at"	"AI002966"	"basic leucine zipper nuclear factor 1"	"BLZF1"
"226530_PM_at"	"226530_PM_at"	"AK024472"	"Bcl2 modifying factor"	"BMF"
"202265_PM_at"	"202265_PM_at"	"NM_005180"	"BMI1 polycomb ring finger oncogene"	"BMI1"
"1569001_PM_at"	"1569001_PM_at"	"AF318323"	"bone morphogenetic protein 1"	"BMP1"
"208292_PM_at"	"208292_PM_at"	"NM_014482"	"bone morphogenetic protein 10"	"BMP10"
"221332_PM_at"	"221332_PM_at"	"NM_005448"	"bone morphogenetic protein 15"	"BMP15"
"205289_PM_at"	"205289_PM_at"	"AA583044"	"bone morphogenetic protein 2"	"BMP2"
"214716_PM_at"	"214716_PM_at"	"AW504018"	"BMP2 inducible kinase"	"BMP2K"
"208244_PM_at"	"208244_PM_at"	"NM_001201"	"bone morphogenetic protein 3"	"BMP3"
"211518_PM_s_at"	"211518_PM_s_at"	"D30751"	"bone morphogenetic protein 4"	"BMP4"
"205430_PM_at"	"205430_PM_at"	"AL133386"	"bone morphogenetic protein 5"	"BMP5"
"206176_PM_at"	"206176_PM_at"	"NM_001718"	"bone morphogenetic protein 6"	"BMP6"
"209590_PM_at"	"209590_PM_at"	"AL157414"	"bone morphogenetic protein 7"	"BMP7"
"207866_PM_at"	"207866_PM_at"	"NM_001720"	"bone morphogenetic protein 8a"	"BMP8A"
"207865_PM_s_at"	"207865_PM_s_at"	"NM_001720"	"bone morphogenetic protein 8b"	"BMP8B"
"241986_PM_at"	"241986_PM_at"	"AI423201"	"BMP binding endothelial regulator"	"BMPER"
"204832_PM_s_at"	"204832_PM_s_at"	"NM_004329"	"bone morphogenetic protein receptor, type IA"	"BMPR1A"
"210523_PM_at"	"210523_PM_at"	"D89675"	"bone morphogenetic protein receptor, type IB"	"BMPR1B"
"209920_PM_at"	"209920_PM_at"	"U20165"	"bone morphogenetic protein receptor, type II (serine/threonine kinase)"	"BMPR2"
"203082_PM_at"	"203082_PM_at"	"NM_014753"	"BMS1 homolog, ribosome assembly protein (yeast)"	"BMS1"
"238924_PM_at"	"238924_PM_at"	"BF516429"	"BMS1 pseudogene 1 /// BMS1 pseudogene 5"	"BMS1P1 /// BMS1P5"
"239151_PM_at"	"239151_PM_at"	"BG427809"	"BMS1 pseudogene 1 /// BMS1 pseudogene 5 /// hypothetical LOC399753"	"BMS1P1 /// BMS1P5 /// LOC399753"
"231106_PM_at"	"231106_PM_at"	"AI684591"	"BMS1 pseudogene 5"	"BMS1P5"
"206464_PM_at"	"206464_PM_at"	"NM_001721"	"BMX non-receptor tyrosine kinase"	"BMX"
"1552487_PM_a_at"	"1552487_PM_a_at"	"NM_001717"	"basonuclin 1"	"BNC1"
"220272_PM_at"	"220272_PM_at"	"NM_017637"	"basonuclin 2"	"BNC2"
"204930_PM_s_at"	"204930_PM_s_at"	"NM_013979"	"BCL2/adenovirus E1B 19kDa interacting protein 1"	"BNIP1"
"209308_PM_s_at"	"209308_PM_s_at"	"BC002461"	"BCL2/adenovirus E1B 19kDa interacting protein 2"	"BNIP2"
"201848_PM_s_at"	"201848_PM_s_at"	"U15174"	"BCL2/adenovirus E1B 19kDa interacting protein 3"	"BNIP3"
"221478_PM_at"	"221478_PM_at"	"AL132665"	"BCL2/adenovirus E1B 19kDa interacting protein 3-like"	"BNIP3L"
"1553072_PM_at"	"1553072_PM_at"	"NM_138279"	"BCL2/adenovirus E1B 19kD interacting protein like"	"BNIPL"
"224184_PM_s_at"	"224184_PM_s_at"	"AY027658"	"Boc homolog (mouse)"	"BOC"
"225030_PM_at"	"225030_PM_at"	"AA824341"	"biorientation of chromosomes in cell division 1"	"BOD1"
"225821_PM_s_at"	"225821_PM_s_at"	"AI744726"	"biorientation of chromosomes in cell division 1-like"	"BOD1L"
"231368_PM_at"	"231368_PM_at"	"AI016643"	"biorientation of chromosomes in cell division 1 pseudogene"	"BOD1P"
"221454_PM_at"	"221454_PM_at"	"NM_014204"	"BCL2-related ovarian killer"	"BOK"
"219345_PM_at"	"219345_PM_at"	"NM_016074"	"bolA homolog 1 (E. coli)"	"BOLA1"
"231500_PM_s_at"	"231500_PM_s_at"	"AV650728"	"BolA homolog 2 (E. coli)"	"BOLA2"
"209836_PM_x_at"	"209836_PM_x_at"	"AF060511"	"bolA homolog 2 (E. coli) /// bolA homolog 2B (E. coli)"	"BOLA2 /// BOLA2B"
"210396_PM_s_at"	"210396_PM_s_at"	"AF271775"	"bolA homolog 2 (E. coli) /// PI-3-kinase-related kinase SMG-1 pseudogene /// PI-3-kinase-related kinase SMG-1 pseudogene"	"BOLA2 /// LOC440354 /// LOC595101"
"227291_PM_s_at"	"227291_PM_s_at"	"AI380704"	"bolA homolog 3 (E. coli)"	"BOLA3"
"236954_PM_at"	"236954_PM_at"	"BF059752"	"bol, boule-like (Drosophila)"	"BOLL"
"212563_PM_at"	"212563_PM_at"	"BG491842"	"block of proliferation 1 /// similar to block of proliferation 1"	"BOP1 /// LOC727967"
"1555547_PM_at"	"1555547_PM_at"	"AB088847"	"brain peptide A1"	"BPA-1"
"220772_PM_at"	"220772_PM_at"	"NM_021812"	"blepharophimosis, epicanthus inversus and ptosis, candidate 1 (non-protein coding)"	"BPESC1"
"203502_PM_at"	"203502_PM_at"	"NM_001724"	"2,3-bisphosphoglycerate mutase"	"BPGM"
"205750_PM_at"	"205750_PM_at"	"NM_004332"	"biphenyl hydrolase-like (serine hydrolase)"	"BPHL"
"205557_PM_at"	"205557_PM_at"	"NM_001725"	"bactericidal/permeability-increasing protein"	"BPI"
"244231_PM_at"	"244231_PM_at"	"AW451313"	"bactericidal/permeability-increasing protein /// hypothetical protein LOC149684"	"BPI /// LOC149684"
"232698_PM_at"	"232698_PM_at"	"AK027068"	"bactericidal/permeability-increasing protein-like 1"	"BPIL1"
"1555773_PM_at"	"1555773_PM_at"	"AF465766"	"bactericidal/permeability-increasing protein-like 2"	"BPIL2"
"1555535_PM_at"	"1555535_PM_at"	"AF465767"	"bactericidal/permeability-increasing protein-like 3"	"BPIL3"
"1554575_PM_a_at"	"1554575_PM_a_at"	"BC017801"	"3'(2'), 5'-bisphosphate nucleotidase 1"	"BPNT1"
"207186_PM_s_at"	"207186_PM_s_at"	"NM_004459"	"bromodomain PHD finger transcription factor"	"BPTF"
"208331_PM_at"	"208331_PM_at"	"NM_004678"	"basic charge, Y-linked, 2"	"BPY2"
"206044_PM_s_at"	"206044_PM_s_at"	"NM_004333"	"v-raf murine sarcoma viral oncogene homolog B1"	"BRAF"
"209922_PM_at"	"209922_PM_at"	"AF035620"	"BRCA1 associated protein"	"BRAP"
"204531_PM_s_at"	"204531_PM_s_at"	"NM_007295"	"breast cancer 1, early onset"	"BRCA1"
"208368_PM_s_at"	"208368_PM_s_at"	"NM_000059"	"breast cancer 2, early onset"	"BRCA2"
"216521_PM_s_at"	"216521_PM_s_at"	"S72931"	"BRCA1/BRCA2-containing complex, subunit 3"	"BRCC3"
"204520_PM_x_at"	"204520_PM_x_at"	"NM_014577"	"bromodomain containing 1"	"BRD1"
"208685_PM_x_at"	"208685_PM_x_at"	"AA902767"	"bromodomain containing 2"	"BRD2"
"1555028_PM_at"	"1555028_PM_at"	"BC032124"	"bromodomain containing 3"	"BRD3"
"202102_PM_s_at"	"202102_PM_s_at"	"BF718610"	"bromodomain containing 4"	"BRD4"
"221776_PM_s_at"	"221776_PM_s_at"	"AI885109"	"bromodomain containing 7"	"BRD7"
"1569960_PM_at"	"1569960_PM_at"	"BC033937"	"bromodomain containing 7 pseudogene 3"	"BRD7P3"
"202227_PM_s_at"	"202227_PM_s_at"	"NM_006696"	"bromodomain containing 8"	"BRD8"
"220155_PM_s_at"	"220155_PM_s_at"	"NM_023924"	"bromodomain containing 9"	"BRD9"
"206787_PM_at"	"206787_PM_at"	"NM_001726"	"bromodomain, testis-specific"	"BRDT"
"205550_PM_s_at"	"205550_PM_s_at"	"NM_004899"	"brain and reproductive organ-expressed (TNFRSF1A modulator)"	"BRE"
"241475_PM_at"	"241475_PM_at"	"AA420998"	"breast cancer estrogen-induced apoptosis 2"	"BREA2"
"1552399_PM_a_at"	"1552399_PM_a_at"	"NM_145696"	"BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)"	"BRF1"
"218954_PM_s_at"	"218954_PM_s_at"	"AF298153"	"BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like"	"BRF2"
"223376_PM_s_at"	"223376_PM_s_at"	"AB055977"	"brain protein I3"	"BRI3"
"222676_PM_at"	"222676_PM_at"	"NM_018842"	"brain protein I3 /// hypothetical protein LOC644975"	"BRI3 /// FLJ30064"
"231810_PM_at"	"231810_PM_at"	"BG106919"	"BRI3 binding protein"	"BRI3BP"
"221703_PM_at"	"221703_PM_at"	"AF360549"	"BRCA1 interacting protein C-terminal helicase 1"	"BRIP1"
"219177_PM_at"	"219177_PM_at"	"NM_018321"	"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)"	"BRIX1"
"215631_PM_s_at"	"215631_PM_s_at"	"AL050008"	"breast cancer metastasis suppressor 1"	"BRMS1"
"224484_PM_s_at"	"224484_PM_s_at"	"BC006250"	"breast cancer metastasis-suppressor 1-like"	"BRMS1L"
"202427_PM_s_at"	"202427_PM_s_at"	"NM_015415"	"brain protein 44"	"BRP44"
"218024_PM_at"	"218024_PM_at"	"NM_016098"	"brain protein 44-like"	"BRP44L"
"204481_PM_at"	"204481_PM_at"	"NM_004634"	"bromodomain and PHD finger containing, 1"	"BRPF1"
"1565843_PM_s_at"	"1565843_PM_s_at"	"AK097773"	"bromodomain and PHD finger containing, 3"	"BRPF3"
"1552818_PM_a_at"	"1552818_PM_a_at"	"NM_001727"	"bombesin-like receptor 3"	"BRS3"
"1552504_PM_a_at"	"1552504_PM_a_at"	"NM_032430"	"BR serine/threonine kinase 1"	"BRSK1"
"215010_PM_s_at"	"215010_PM_s_at"	"AJ006701"	"BR serine/threonine kinase 2"	"BRSK2"
"1553227_PM_s_at"	"1553227_PM_s_at"	"NM_018963"	"bromodomain and WD repeat domain containing 1"	"BRWD1"
"1553252_PM_a_at"	"1553252_PM_a_at"	"NM_153252"	"bromodomain and WD repeat domain containing 3"	"BRWD3"
"208906_PM_at"	"208906_PM_at"	"BC004911"	"Berardinelli-Seip congenital lipodystrophy 2 (seipin)"	"BSCL2"
"1559971_PM_at"	"1559971_PM_at"	"BC037860"	"BSD domain containing 1"	"BSDC1"
"208677_PM_s_at"	"208677_PM_s_at"	"AL550657"	"basigin (Ok blood group)"	"BSG"
"204586_PM_at"	"204586_PM_at"	"NM_003458"	"bassoon (presynaptic cytomatrix protein)"	"BSN"
"1552548_PM_at"	"1552548_PM_at"	"NM_057176"	"Bartter syndrome, infantile, with sensorineural deafness (Barttin)"	"BSND"
"218792_PM_s_at"	"218792_PM_s_at"	"NM_017688"	"B-box and SPRY domain containing"	"BSPRY"
"205715_PM_at"	"205715_PM_at"	"NM_004334"	"bone marrow stromal cell antigen 1"	"BST1"
"201641_PM_at"	"201641_PM_at"	"NM_004335"	"bone marrow stromal cell antigen 2"	"BST2"
"209430_PM_at"	"209430_PM_at"	"AJ001017"	"BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)"	"BTAF1"
"217945_PM_at"	"217945_PM_at"	"NM_025238"	"BTB (POZ) domain containing 1"	"BTBD1"
"223174_PM_at"	"223174_PM_at"	"BC005071"	"BTB (POZ) domain containing 10"	"BTBD10"
"228570_PM_at"	"228570_PM_at"	"BF510581"	"BTB (POZ) domain containing 11"	"BTBD11"
"232147_PM_at"	"232147_PM_at"	"AL442083"	"BTB (POZ) domain containing 12"	"BTBD12"
"1552566_PM_at"	"1552566_PM_at"	"NM_144587"	"BTB (POZ) domain containing 16"	"BTBD16"
"230445_PM_at"	"230445_PM_at"	"BE858105"	"BTB (POZ) domain containing 17"	"BTBD17"
"215349_PM_at"	"215349_PM_at"	"AK000995"	"BTB (POZ) domain containing 18"	"BTBD18"
"1557049_PM_at"	"1557049_PM_at"	"BQ183759"	"BTB (POZ) domain containing 19"	"BTBD19"
"207722_PM_s_at"	"207722_PM_s_at"	"NM_017797"	"BTB (POZ) domain containing 2"	"BTBD2"
"202946_PM_s_at"	"202946_PM_s_at"	"NM_014962"	"BTB (POZ) domain containing 3"	"BTBD3"
"225389_PM_at"	"225389_PM_at"	"AW149498"	"BTB (POZ) domain containing 6"	"BTBD6"
"1556000_PM_s_at"	"1556000_PM_s_at"	"AK074354"	"BTB (POZ) domain containing 7"	"BTBD7"
"1569693_PM_at"	"1569693_PM_at"	"BG030576"	"BTB (POZ) domain containing 8"	"BTBD8"
"1553375_PM_at"	"1553375_PM_at"	"NM_152733"	"BTB (POZ) domain containing 9"	"BTBD9"
"207326_PM_at"	"207326_PM_at"	"NM_001729"	"betacellulin"	"BTC"
"204167_PM_at"	"204167_PM_at"	"NM_000060"	"biotinidase"	"BTD"
"208517_PM_x_at"	"208517_PM_x_at"	"NM_001207"	"basic transcription factor 3"	"BTF3"
"208529_PM_at"	"208529_PM_at"	"NM_001208"	"basic transcription factor 3, like 1 pseudogene"	"BTF3L1"
"217461_PM_x_at"	"217461_PM_x_at"	"M90355"	"basic transcription factor 3, like 2"	"BTF3L2"
"225976_PM_at"	"225976_PM_at"	"AL568049"	"basic transcription factor 3-like 4"	"BTF3L4"
"1559975_PM_at"	"1559975_PM_at"	"BC009050"	"B-cell translocation gene 1, anti-proliferative"	"BTG1"
"201235_PM_s_at"	"201235_PM_s_at"	"BG339064"	"BTG family, member 2"	"BTG2"
"1556213_PM_a_at"	"1556213_PM_a_at"	"BC028229"	"BTG family, member 3"	"BTG3"
"1554362_PM_at"	"1554362_PM_at"	"BC031045"	"B-cell translocation gene 4"	"BTG4"
"205504_PM_at"	"205504_PM_at"	"NM_000061"	"Bruton agammaglobulinemia tyrosine kinase"	"BTK"
"236226_PM_at"	"236226_PM_at"	"AW294080"	"B and T lymphocyte associated"	"BTLA"
"207395_PM_at"	"207395_PM_at"	"NM_001732"	"butyrophilin, subfamily 1, member A1"	"BTN1A1"
"203944_PM_x_at"	"203944_PM_x_at"	"NM_007049"	"butyrophilin, subfamily 2, member A1"	"BTN2A1"
"1564684_PM_at"	"1564684_PM_at"	"AL832800"	"butyrophilin, subfamily 2, member A2"	"BTN2A2"
"208585_PM_at"	"208585_PM_at"	"NM_024018"	"butyrophilin, subfamily 2, member A3"	"BTN2A3"
"207485_PM_x_at"	"207485_PM_x_at"	"NM_007048"	"butyrophilin, subfamily 3, member A1"	"BTN3A1"
"209846_PM_s_at"	"209846_PM_s_at"	"BC002832"	"butyrophilin, subfamily 3, member A2"	"BTN3A2"
"204820_PM_s_at"	"204820_PM_s_at"	"NM_006994"	"butyrophilin, subfamily 3, member A2 /// butyrophilin, subfamily 3, member A3"	"BTN3A2 /// BTN3A3"
"204821_PM_at"	"204821_PM_at"	"NM_006994"	"butyrophilin, subfamily 3, member A3"	"BTN3A3"
"221457_PM_s_at"	"221457_PM_s_at"	"NM_019602"	"butyrophilin-like 2 (MHC class II associated)"	"BTNL2"
"217207_PM_s_at"	"217207_PM_s_at"	"AK025267"	"butyrophilin-like 3"	"BTNL3"
"220421_PM_at"	"220421_PM_at"	"NM_024850"	"butyrophilin-like 8"	"BTNL8"
"1557034_PM_s_at"	"1557034_PM_s_at"	"AW193764"	"butyrophilin-like 8 /// hypothetical LOC100134445 /// WAS protein family homolog 1 /// WAS protein family homolog 2 pseudogene /// WAS protein family homolog 3 pseudogene /// WAS protein family homolog 5 pseudogene /// WAS protein family homolog 7 pseudogene"	"BTNL8 /// LOC100134445 /// WASH1 /// WASH2P /// WASH3P /// WASH5P /// WASH7P"
"226340_PM_x_at"	"226340_PM_x_at"	"AI628311"	"butyrophilin-like 8 /// WAS protein family homolog 3 pseudogene"	"BTNL8 /// WASH3P"
"1553279_PM_at"	"1553279_PM_at"	"NM_152547"	"butyrophilin-like 9"	"BTNL9"
"1563620_PM_at"	"1563620_PM_at"	"AL833133"	"beta-transducin repeat containing"	"BTRC"
"209642_PM_at"	"209642_PM_at"	"AF043294"	"budding uninhibited by benzimidazoles 1 homolog (yeast)"	"BUB1"
"203755_PM_at"	"203755_PM_at"	"NM_001211"	"budding uninhibited by benzimidazoles 1 homolog beta (yeast)"	"BUB1B"
"201456_PM_s_at"	"201456_PM_s_at"	"AU160695"	"budding uninhibited by benzimidazoles 3 homolog (yeast)"	"BUB3"
"224504_PM_s_at"	"224504_PM_s_at"	"BC006350"	"BUD13 homolog (S. cerevisiae)"	"BUD13"
"205690_PM_s_at"	"205690_PM_s_at"	"NM_003910"	"BUD31 homolog (S. cerevisiae)"	"BUD31"
"223853_PM_at"	"223853_PM_at"	"AF204172"	"blood vessel epicardial substance"	"BVES"
"203612_PM_at"	"203612_PM_at"	"NM_004053"	"bystin-like"	"BYSL"
"205839_PM_s_at"	"205839_PM_s_at"	"NM_004758"	"benzodiazapine receptor (peripheral) associated protein 1"	"BZRAP1"
"200777_PM_s_at"	"200777_PM_s_at"	"NM_014670"	"basic leucine zipper and W2 domains 1"	"BZW1"
"200776_PM_s_at"	"200776_PM_s_at"	"AL518328"	"basic leucine zipper and W2 domains 1 /// basic leucine zipper and W2 domains 1 like 1"	"BZW1 /// BZW1L1"
"217809_PM_at"	"217809_PM_at"	"NM_014038"	"basic leucine zipper and W2 domains 2"	"BZW2"
"209182_PM_s_at"	"209182_PM_s_at"	"AI302100"	"chromosome 10 open reading frame 10"	"C10orf10"
"1557827_PM_at"	"1557827_PM_at"	"BC043233"	"chromosome 10 open reading frame 103"	"C10orf103"
"1553630_PM_at"	"1553630_PM_at"	"NM_173554"	"chromosome 10 open reading frame 107"	"C10orf107"
"1557548_PM_at"	"1557548_PM_at"	"BC042561"	"chromosome 10 open reading frame 108"	"C10orf108"
"223703_PM_at"	"223703_PM_at"	"AF267860"	"chromosome 10 open reading frame 11"	"C10orf11"
"220703_PM_at"	"220703_PM_at"	"NM_018470"	"chromosome 10 open reading frame 110"	"C10orf110"
"242660_PM_at"	"242660_PM_at"	"AA846789"	"chromosome 10 open reading frame 112"	"C10orf112"
"244077_PM_at"	"244077_PM_at"	"BF057822"	"chromosome 10 open reading frame 113"	"C10orf113"
"1555922_PM_at"	"1555922_PM_at"	"BQ007522"	"chromosome 10 open reading frame 114"	"C10orf114"
"203571_PM_s_at"	"203571_PM_s_at"	"NM_006829"	"chromosome 10 open reading frame 116"	"C10orf116"
"219844_PM_at"	"219844_PM_at"	"NM_018017"	"chromosome 10 open reading frame 118"	"C10orf118"
"217905_PM_at"	"217905_PM_at"	"NM_024834"	"chromosome 10 open reading frame 119"	"C10orf119"
"216393_PM_at"	"216393_PM_at"	"AL049938"	"chromosome 10 open reading frame 12"	"C10orf12"
"244789_PM_at"	"244789_PM_at"	"AW082215"	"chromosome 10 open reading frame 122"	"C10orf122"
"230259_PM_at"	"230259_PM_at"	"AI471699"	"chromosome 10 open reading frame 125"	"C10orf125"
"1553915_PM_at"	"1553915_PM_at"	"NM_173577"	"chromosome 10 open reading frame 126"	"C10orf126"
"1561890_PM_at"	"1561890_PM_at"	"BC037922"	"chromosome 10 open reading frame 128"	"C10orf128"
"1560851_PM_at"	"1560851_PM_at"	"BC017939"	"chromosome 10 open reading frame 136"	"C10orf136"
"208115_PM_x_at"	"208115_PM_x_at"	"NM_030897"	"chromosome 10 open reading frame 137"	"C10orf137"
"1559265_PM_at"	"1559265_PM_at"	"AI363206"	"chromosome 10 open reading frame 140"	"C10orf140"
